# generated with code/opcodes.py
1:0x0 : ...
1:0x1 : 01                   	.byte 0x1
3:0xa6 : a6                   	cmpsb  %es
3:0xa7 : a7                   	cmpsl  %es
3:0xa8 : a8                   	.byte 0xa8
3:0xa9 : a9                   	.byte 0xa9
3:0xaa : aa                   	stos   %al,%es
3:0xab : ab                   	stos   %eax,%es
3:0xac : ac                   	lods   %ds
3:0xad : ad                   	lods   %ds
3:0xae : ae                   	scas   %es
3:0xaf : af                   	scas   %es
3:0xb0 : b0                   	.byte 0xb0
3:0xb1 : b1                   	.byte 0xb1
3:0xb2 : b2                   	.byte 0xb2
3:0xb3 : b3                   	.byte 0xb3
3:0xb4 : b4                   	.byte 0xb4
3:0xb5 : b5                   	.byte 0xb5
3:0xb6 : b6                   	.byte 0xb6
3:0xb7 : b7                   	.byte 0xb7
3:0xb8 : b8                   	.byte 0xb8
3:0xb9 : b9                   	.byte 0xb9
3:0xba : ba                   	.byte 0xba
3:0xbb : bb                   	.byte 0xbb
3:0xbc : bc                   	.byte 0xbc
3:0xbd : bd                   	.byte 0xbd
3:0xbe : be                   	.byte 0xbe
3:0xbf : bf                   	.byte 0xbf
3:0xc0 : c0 c0 c0             	rol    $0xc0,%al
3:0xc1 : c1 c1 c1             	rol    $0xc1,%ecx
3:0xc2 : c2 c2 c2             	retq   $0xc2c2
3:0xc3 : c3                   	retq
3:0xc4 : c4                   	.byte 0xc4
3:0xc5 : c5                   	.byte 0xc5
3:0xc6 : c6 c6 c6             	mov    $0xc6,%dh
3:0xc7 : c7                   	.byte 0xc7
3:0xc8 : c8                   	.byte 0xc8
3:0xc9 : c9                   	leaveq
3:0xca : ca ca ca             	lret   $0xcaca
3:0xcb : cb                   	lret
3:0xcc : cc                   	int3
3:0xcd : cd                   	.byte 0xcd
3:0xce : ce                   	(bad)
3:0xcf : cf                   	iret
3:0xd0 : d0                   	.byte 0xd0
3:0xd1 : d1                   	.byte 0xd1
3:0xd2 : d2                   	.byte 0xd2
3:0xd3 : d3                   	.byte 0xd3
3:0xd4 : d4                   	(bad)
3:0xd5 : d5                   	(bad)
3:0xd6 : d6                   	(bad)
3:0xd7 : d7                   	xlat   %ds
3:0xd8 : d8                   	.byte 0xd8
3:0xd9 : d9                   	.byte 0xd9
3:0xda : da                   	.byte 0xda
3:0xdb : db                   	.byte 0xdb
3:0xdc : dc                   	.byte 0xdc
3:0xdd : dd                   	.byte 0xdd
3:0xde : de                   	.byte 0xde
3:0xdf : df                   	.byte 0xdf
3:0xe0 : e0                   	.byte 0xe0
3:0xe1 : e1                   	.byte 0xe1
3:0xe2 : e2                   	.byte 0xe2
3:0xe3 : e3                   	.byte 0xe3
3:0xe4 : e4                   	.byte 0xe4
3:0xe5 : e5                   	.byte 0xe5
3:0xe6 : e6                   	.byte 0xe6
3:0xe7 : e7                   	.byte 0xe7
3:0xe8 : e8                   	.byte 0xe8
3:0xe9 : e9                   	.byte 0xe9
3:0xea : ea                   	(bad)
3:0xeb : eb                   	.byte 0xeb
3:0xec : ec                   	in     (%dx),%al
3:0xed : ed                   	in     (%dx),%eax
3:0xee : ee                   	out    %al,(%dx)
3:0xef : ef                   	out    %eax,(%dx)
3:0xf0 : f0                   	lock
3:0xf1 : f1                   	icebp
3:0xf2 : f2                   	repnz
3:0xf3 : f3                   	repz
3:0xf4 : f4                   	hlt
3:0xf5 : f5                   	cmc
3:0xf6 : f6                   	.byte 0xf6
3:0xf7 : f7                   	.byte 0xf7
3:0xf8 : f8                   	clc
3:0xf9 : f9                   	stc
3:0xfa : fa                   	cli
3:0xfb : fb                   	sti
3:0xfc : fc                   	cld
3:0xfd : fd                   	std
3:0xfe : fe                   	.byte 0xfe
3:0xff : ff                   	.byte 0xff
4:0x0 : ...
4:0x1 : 01 01                	add    %eax,(%rcx)
4:0x2 : 02 02                	add    (%rdx),%al
4:0x3 : 03 03                	add    (%rbx),%eax
4:0x4 : 04 04                	add    $0x4,%al
4:0x5 : 05                   	.byte 0x5
4:0x6 : 06                   	(bad)
4:0x7 : 07                   	(bad)
4:0x8 : 08 08                	or     %cl,(%rax)
4:0x9 : 09 09                	or     %ecx,(%rcx)
4:0xa : 0a 0a                	or     (%rdx),%cl
4:0xb : 0b 0b                	or     (%rbx),%ecx
4:0xc : 0c 0c                	or     $0xc,%al
4:0xd : 0d                   	.byte 0xd
4:0xe : 0e                   	(bad)
4:0xf : 
4:0x10 : 10 10                	adc    %dl,(%rax)
4:0x11 : 11 11                	adc    %edx,(%rcx)
4:0x12 : 12 12                	adc    (%rdx),%dl
4:0x13 : 13 13                	adc    (%rbx),%edx
4:0x14 : 14 14                	adc    $0x14,%al
4:0x15 : 15                   	.byte 0x15
4:0x16 : 16                   	(bad)
4:0x17 : 17                   	(bad)
4:0x18 : 18 18                	sbb    %bl,(%rax)
4:0x19 : 19 19                	sbb    %ebx,(%rcx)
4:0x1a : 1a 1a                	sbb    (%rdx),%bl
4:0x1b : 1b 1b                	sbb    (%rbx),%ebx
4:0x1c : 1c 1c                	sbb    $0x1c,%al
4:0x1d : 1d                   	.byte 0x1d
4:0x1e : 1e                   	(bad)
4:0x1f : 1f                   	(bad)
4:0x20 : 20 20                	and    %ah,(%rax)
4:0x21 : 21 21                	and    %esp,(%rcx)
4:0x22 : 22 22                	and    (%rdx),%ah
4:0x23 : 23 23                	and    (%rbx),%esp
4:0x24 : 24 24                	and    $0x24,%al
4:0x25 : 25                   	.byte 0x25
4:0x26 : 26                   	es
4:0x27 : 27                   	(bad)
4:0x28 : 28 28                	sub    %ch,(%rax)
4:0x29 : 29 29                	sub    %ebp,(%rcx)
4:0x2a : 2a 2a                	sub    (%rdx),%ch
4:0x2b : 2b 2b                	sub    (%rbx),%ebp
4:0x2c : 2c 2c                	sub    $0x2c,%al
4:0x2d : 2d                   	.byte 0x2d
4:0x2e : 2e                   	cs
4:0x2f : 2f                   	(bad)
4:0x30 : 30 30                	xor    %dh,(%rax)
4:0x31 : 31 31                	xor    %esi,(%rcx)
4:0x32 : 32 32                	xor    (%rdx),%dh
4:0x33 : 33 33                	xor    (%rbx),%esi
4:0x34 : 34 34                	xor    $0x34,%al
4:0x35 : 35                   	.byte 0x35
4:0x36 : 36                   	ss
4:0x37 : 37                   	(bad)
4:0x38 : 38 38                	cmp    %bh,(%rax)
4:0x39 : 39 39                	cmp    %edi,(%rcx)
4:0x3a : 3a 3a                	cmp    (%rdx),%bh
4:0x3b : 3b 3b                	cmp    (%rbx),%edi
4:0x3c : 3c 3c                	cmp    $0x3c,%al
4:0x3d : 3d                   	.byte 0x3d
4:0x3e : 3e                   	ds
4:0x3f : 3f                   	(bad)
4:0x40 : 40                   	rex
4:0x41 : 41                   	rex.B
4:0x42 : 42                   	rex.X
4:0x43 : 43                   	rex.XB
4:0x44 : 44                   	rex.R
4:0x45 : 45                   	rex.RB
4:0x46 : 46                   	rex.RX
4:0x47 : 47                   	rex.RXB
4:0x48 : 48                   	rex.W
4:0x49 : 49                   	rex.WB
4:0x4a : 4a                   	rex.WX
4:0x4b : 4b                   	rex.WXB
4:0x4c : 4c                   	rex.WR
4:0x4d : 4d                   	rex.WRB
4:0x4e : 4e                   	rex.WRX
4:0x4f : 4f                   	rex.WRXB
4:0x50 : 50                   	push   %rax
4:0x51 : 51                   	push   %rcx
4:0x52 : 52                   	push   %rdx
4:0x53 : 53                   	push   %rbx
4:0x54 : 54                   	push   %rsp
4:0x55 : 55                   	push   %rbp
4:0x56 : 56                   	push   %rsi
4:0x57 : 57                   	push   %rdi
4:0x58 : 58                   	pop    %rax
4:0x59 : 59                   	pop    %rcx
4:0x5a : 5a                   	pop    %rdx
4:0x5b : 5b                   	pop    %rbx
4:0x5c : 5c                   	pop    %rsp
4:0x5d : 5d                   	pop    %rbp
4:0x5e : 5e                   	pop    %rsi
4:0x5f : 5f                   	pop    %rdi
4:0x60 : 60                   	(bad)
4:0x61 : 61                   	(bad)
4:0x62 : 62                   	.byte 0x62
4:0x63 : 63                   	.byte 0x63
4:0x64 : 64                   	fs
4:0x65 : 65                   	gs
4:0x66 : 66                   	data16
4:0x67 : 67                   	addr32
4:0x68 : 68                   	.byte 0x68
4:0x69 : 69                   	.byte 0x69
4:0x6a : 6a 6a                	pushq  $0x6a
4:0x6b : 6b 6b 6b 6b          	imul   $0x6b,0x6b(%rbx),%ebp
4:0x6c : 6c                   	insb   (%dx),%es
4:0x6d : 6d                   	insl   (%dx),%es
4:0x6e : 6e                   	outsb  %ds
4:0x6f : 6f                   	outsl  %ds
4:0x70 : 70 70                	jo     4000f4 <_start+0x74>
4:0x71 : 71 71                	jno    4000f5 <_start+0x75>
4:0x72 : 72 72                	jb     4000f6 <_start+0x76>
4:0x73 : 73 73                	jae    4000f7 <_start+0x77>
4:0x74 : 74 74                	je     4000f8 <_start+0x78>
4:0x75 : 75 75                	jne    4000f9 <_start+0x79>
4:0x76 : 76 76                	jbe    4000fa <_start+0x7a>
4:0x77 : 77 77                	ja     4000fb <_start+0x7b>
4:0x78 : 78 78                	js     4000fc <_start+0x7c>
4:0x79 : 79 79                	jns    4000fd <_start+0x7d>
4:0x7a : 7a 7a                	jp     4000fe <_start+0x7e>
4:0x7b : 7b 7b                	jnp    4000ff <_start+0x7f>
4:0x7c : 7c 7c                	jl     400100 <_start+0x80>
4:0x7d : 7d 7d                	jge    400101 <_start+0x81>
4:0x7e : 7e 7e                	jle    400102 <_start+0x82>
4:0x7f : 7f 7f                	jg     400103 <_start+0x83>
4:0x80 : 80                   	.byte 0x80
4:0x81 : 81                   	.byte 0x81
4:0x82 : 82                   	.byte 0x82
4:0x83 : 83                   	.byte 0x83
4:0x84 : 84                   	.byte 0x84
4:0x85 : 85                   	.byte 0x85
4:0x86 : 86                   	.byte 0x86
4:0x87 : 87                   	.byte 0x87
4:0x88 : 88                   	.byte 0x88
4:0x89 : 89                   	.byte 0x89
4:0x8a : 8a                   	.byte 0x8a
4:0x8b : 8b                   	.byte 0x8b
4:0x8c : 8c                   	.byte 0x8c
4:0x8d : 8d                   	.byte 0x8d
4:0x8e : 8e                   	.byte 0x8e
4:0x8f : 8f                   	.byte 0x8f
4:0x90 : 90                   	nop
4:0x91 : 91                   	xchg   %eax,%ecx
4:0x92 : 92                   	xchg   %eax,%edx
4:0x93 : 93                   	xchg   %eax,%ebx
4:0x94 : 94                   	xchg   %eax,%esp
4:0x95 : 95                   	xchg   %eax,%ebp
4:0x96 : 96                   	xchg   %eax,%esi
4:0x97 : 97                   	xchg   %eax,%edi
4:0x98 : 98                   	cwtl
4:0x99 : 99                   	cltd
4:0x9a : 9a                   	(bad)
4:0x9b : 9b                   	fwait
4:0x9c : 9c                   	pushfq
4:0x9d : 9d                   	popfq
4:0x9e : 9e                   	sahf
4:0x9f : 9f                   	lahf
4:0xa0 : a0                   	.byte 0xa0
4:0xa1 : a1                   	.byte 0xa1
4:0xa2 : a2                   	.byte 0xa2
4:0xa3 : a3                   	.byte 0xa3
4:0xa4 : a4                   	movsb  %ds
4:0xa5 : a5                   	movsl  %ds
4:0xa6 : a6                   	cmpsb  %es
4:0xa7 : a7                   	cmpsl  %es
4:0xa8 : a8 a8                	test   $0xa8,%al
4:0xa9 : a9                   	.byte 0xa9
4:0xaa : aa                   	stos   %al,%es
4:0xab : ab                   	stos   %eax,%es
4:0xac : ac                   	lods   %ds
4:0xad : ad                   	lods   %ds
4:0xae : ae                   	scas   %es
4:0xaf : af                   	scas   %es
4:0xb0 : b0 b0                	mov    $0xb0,%al
4:0xb1 : b1 b1                	mov    $0xb1,%cl
4:0xb2 : b2 b2                	mov    $0xb2,%dl
4:0xb3 : b3 b3                	mov    $0xb3,%bl
4:0xb4 : b4 b4                	mov    $0xb4,%ah
4:0xb5 : b5 b5                	mov    $0xb5,%ch
4:0xb6 : b6 b6                	mov    $0xb6,%dh
4:0xb7 : b7 b7                	mov    $0xb7,%bh
4:0xb8 : b8                   	.byte 0xb8
4:0xb9 : b9                   	.byte 0xb9
4:0xba : ba                   	.byte 0xba
4:0xbb : bb                   	.byte 0xbb
4:0xbc : bc                   	.byte 0xbc
4:0xbd : bd                   	.byte 0xbd
4:0xbe : be                   	.byte 0xbe
4:0xbf : bf                   	.byte 0xbf
4:0xc0 : c0                   	.byte 0xc0
4:0xc1 : c1                   	.byte 0xc1
4:0xc2 : c2                   	.byte 0xc2
4:0xc3 : c3                   	retq
4:0xc4 : c4                   	.byte 0xc4
4:0xc5 : c5                   	.byte 0xc5
4:0xc6 : c6                   	.byte 0xc6
4:0xc7 : c7                   	.byte 0xc7
4:0xc8 : c8 c8 c8 c8          	enterq $0xc8c8,$0xc8
4:0xc9 : c9                   	leaveq
4:0xca : ca                   	.byte 0xca
4:0xcb : cb                   	lret
4:0xcc : cc                   	int3
4:0xcd : cd cd                	int    $0xcd
4:0xce : ce                   	(bad)
4:0xcf : cf                   	iret
4:0xd0 : d0 d0                	rcl    %al
4:0xd1 : d1 d1                	rcl    %ecx
4:0xd2 : d2 d2                	rcl    %cl,%dl
4:0xd3 : d3 d3                	rcl    %cl,%ebx
4:0xd4 : d4                   	(bad)
4:0xd5 : d5                   	(bad)
4:0xd6 : d6                   	(bad)
4:0xd7 : d7                   	xlat   %ds
4:0xd8 : d8 d8                	fcomp  %st(0)
4:0xd9 : d9 d9                	(bad)
4:0xda : da da                	fcmovu %st(2),%st
4:0xdb : db db                	fcmovnu %st(3),%st
4:0xdc : dc dc                	(bad)
4:0xdd : dd dd                	fstp   %st(5)
4:0xde : de de                	(bad)
4:0xdf : df df                	(bad)
4:0xe0 : e0 e0                	loopne 400064 <_start-0x1c>
4:0xe1 : e1 e1                	loope  400065 <_start-0x1b>
4:0xe2 : e2 e2                	loop   400066 <_start-0x1a>
4:0xe3 : e3 e3                	jrcxz  400067 <_start-0x19>
4:0xe4 : e4 e4                	in     $0xe4,%al
4:0xe5 : e5 e5                	in     $0xe5,%eax
4:0xe6 : e6 e6                	out    %al,$0xe6
4:0xe7 : e7 e7                	out    %eax,$0xe7
4:0xe8 : e8                   	.byte 0xe8
4:0xe9 : e9                   	.byte 0xe9
4:0xea : ea                   	(bad)
4:0xeb : eb eb                	jmp    40006f <_start-0x11>
4:0xec : ec                   	in     (%dx),%al
4:0xed : ed                   	in     (%dx),%eax
4:0xee : ee                   	out    %al,(%dx)
4:0xef : ef                   	out    %eax,(%dx)
4:0xf0 : f0                   	lock
4:0xf1 : f1                   	icebp
4:0xf2 : f2                   	repnz
4:0xf3 : f3                   	repz
4:0xf4 : f4                   	hlt
4:0xf5 : f5                   	cmc
4:0xf6 : f6 f6                	div    %dh
4:0xf7 : f7 f7                	div    %edi
4:0xf8 : f8                   	clc
4:0xf9 : f9                   	stc
4:0xfa : fa                   	cli
4:0xfb : fb                   	sti
4:0xfc : fc                   	cld
4:0xfd : fd                   	std
4:0xfe : fe                   	.byte 0xfe
4:0xff : ff                   	.byte 0xff
5:0x0 : ...
5:0x1 : 01                   	.byte 0x1
5:0x2 : 02                   	.byte 0x2
5:0x3 : 03                   	.byte 0x3
5:0x4 : 04                   	.byte 0x4
5:0x5 : 05 05 05 05 05       	add    $0x5050505,%eax
5:0x6 : 06                   	(bad)
5:0x7 : 07                   	(bad)
5:0x8 : 08                   	.byte 0x8
5:0x9 : 09                   	.byte 0x9
5:0xa : 0a                   	.byte 0xa
5:0xb : 0b                   	.byte 0xb
5:0xc : 0c                   	.byte 0xc
5:0xd : 0d 0d 0d 0d 0d       	or     $0xd0d0d0d,%eax
5:0xe : 0e                   	(bad)
5:0xf : 
5:0x10 : 10                   	.byte 0x10
5:0x11 : 11                   	.byte 0x11
5:0x12 : 12                   	.byte 0x12
5:0x13 : 13                   	.byte 0x13
5:0x14 : 14                   	.byte 0x14
5:0x15 : 15 15 15 15 15       	adc    $0x15151515,%eax
5:0x16 : 16                   	(bad)
5:0x17 : 17                   	(bad)
5:0x18 : 18                   	.byte 0x18
5:0x19 : 19                   	.byte 0x19
5:0x1a : 1a                   	.byte 0x1a
5:0x1b : 1b                   	.byte 0x1b
5:0x1c : 1c                   	.byte 0x1c
5:0x1d : 1d 1d 1d 1d 1d       	sbb    $0x1d1d1d1d,%eax
5:0x1e : 1e                   	(bad)
5:0x1f : 1f                   	(bad)
5:0x20 : 20                   	.byte 0x20
5:0x21 : 21                   	.byte 0x21
5:0x22 : 22                   	.byte 0x22
5:0x23 : 23                   	.byte 0x23
5:0x24 : 24                   	.byte 0x24
5:0x25 : 25 25 25 25 25       	and    $0x25252525,%eax
5:0x26 : 26                   	es
5:0x27 : 27                   	(bad)
5:0x28 : 28                   	.byte 0x28
5:0x29 : 29                   	.byte 0x29
5:0x2a : 2a                   	.byte 0x2a
5:0x2b : 2b                   	.byte 0x2b
5:0x2c : 2c                   	.byte 0x2c
5:0x2d : 2d 2d 2d 2d 2d       	sub    $0x2d2d2d2d,%eax
5:0x2e : 2e                   	cs
5:0x2f : 2f                   	(bad)
5:0x30 : 30                   	.byte 0x30
5:0x31 : 31                   	.byte 0x31
5:0x32 : 32                   	.byte 0x32
5:0x33 : 33                   	.byte 0x33
5:0x34 : 34                   	.byte 0x34
5:0x35 : 35 35 35 35 35       	xor    $0x35353535,%eax
5:0x36 : 36                   	ss
5:0x37 : 37                   	(bad)
5:0x38 : 38                   	.byte 0x38
5:0x39 : 39                   	.byte 0x39
5:0x3a : 3a                   	.byte 0x3a
5:0x3b : 3b                   	.byte 0x3b
5:0x3c : 3c                   	.byte 0x3c
5:0x3d : 3d 3d 3d 3d 3d       	cmp    $0x3d3d3d3d,%eax
5:0x3e : 3e                   	ds
5:0x3f : 3f                   	(bad)
5:0x40 : 40                   	rex
5:0x41 : 41                   	rex.B
5:0x42 : 42                   	rex.X
5:0x43 : 43                   	rex.XB
5:0x44 : 44                   	rex.R
5:0x45 : 45                   	rex.RB
5:0x46 : 46                   	rex.RX
5:0x47 : 47                   	rex.RXB
5:0x48 : 48                   	rex.W
5:0x49 : 49                   	rex.WB
5:0x4a : 4a                   	rex.WX
5:0x4b : 4b                   	rex.WXB
5:0x4c : 4c                   	rex.WR
5:0x4d : 4d                   	rex.WRB
5:0x4e : 4e                   	rex.WRX
5:0x4f : 4f                   	rex.WRXB
5:0x50 : 50                   	push   %rax
5:0x51 : 51                   	push   %rcx
5:0x52 : 52                   	push   %rdx
5:0x53 : 53                   	push   %rbx
5:0x54 : 54                   	push   %rsp
5:0x55 : 55                   	push   %rbp
5:0x56 : 56                   	push   %rsi
5:0x57 : 57                   	push   %rdi
5:0x58 : 58                   	pop    %rax
5:0x59 : 59                   	pop    %rcx
5:0x5a : 5a                   	pop    %rdx
5:0x5b : 5b                   	pop    %rbx
5:0x5c : 5c                   	pop    %rsp
5:0x5d : 5d                   	pop    %rbp
5:0x5e : 5e                   	pop    %rsi
5:0x5f : 5f                   	pop    %rdi
5:0x60 : 60                   	(bad)
5:0x61 : 61                   	(bad)
5:0x62 : 62                   	.byte 0x62
5:0x63 : 63                   	.byte 0x63
5:0x64 : 64                   	fs
5:0x65 : 65                   	gs
5:0x66 : 66                   	data16
5:0x67 : 67                   	addr32
5:0x68 : 68 68 68 68 68       	pushq  $0x68686868
5:0x69 : 69                   	.byte 0x69
5:0x6a : 6a                   	.byte 0x6a
5:0x6b : 6b                   	.byte 0x6b
5:0x6c : 6c                   	insb   (%dx),%es
5:0x6d : 6d                   	insl   (%dx),%es
5:0x6e : 6e                   	outsb  %ds
5:0x6f : 6f                   	outsl  %ds
5:0x70 : 70                   	.byte 0x70
5:0x71 : 71                   	.byte 0x71
5:0x72 : 72                   	.byte 0x72
5:0x73 : 73                   	.byte 0x73
5:0x74 : 74                   	.byte 0x74
5:0x75 : 75                   	.byte 0x75
5:0x76 : 76                   	.byte 0x76
5:0x77 : 77                   	.byte 0x77
5:0x78 : 78                   	.byte 0x78
5:0x79 : 79                   	.byte 0x79
5:0x7a : 7a                   	.byte 0x7a
5:0x7b : 7b                   	.byte 0x7b
5:0x7c : 7c                   	.byte 0x7c
5:0x7d : 7d                   	.byte 0x7d
5:0x7e : 7e                   	.byte 0x7e
5:0x7f : 7f                   	.byte 0x7f
5:0x80 : 80                   	.byte 0x80
5:0x81 : 81                   	.byte 0x81
5:0x82 : 82                   	.byte 0x82
5:0x83 : 83                   	.byte 0x83
5:0x84 : 84                   	.byte 0x84
5:0x85 : 85                   	.byte 0x85
5:0x86 : 86                   	.byte 0x86
5:0x87 : 87                   	.byte 0x87
5:0x88 : 88                   	.byte 0x88
5:0x89 : 89                   	.byte 0x89
5:0x8a : 8a                   	.byte 0x8a
5:0x8b : 8b                   	.byte 0x8b
5:0x8c : 8c                   	.byte 0x8c
5:0x8d : 8d                   	.byte 0x8d
5:0x8e : 8e                   	.byte 0x8e
5:0x8f : 8f                   	.byte 0x8f
5:0x90 : 90                   	nop
5:0x91 : 91                   	xchg   %eax,%ecx
5:0x92 : 92                   	xchg   %eax,%edx
5:0x93 : 93                   	xchg   %eax,%ebx
5:0x94 : 94                   	xchg   %eax,%esp
5:0x95 : 95                   	xchg   %eax,%ebp
5:0x96 : 96                   	xchg   %eax,%esi
5:0x97 : 97                   	xchg   %eax,%edi
5:0x98 : 98                   	cwtl
5:0x99 : 99                   	cltd
5:0x9a : 9a                   	(bad)
5:0x9b : 9b                   	fwait
5:0x9c : 9c                   	pushfq
5:0x9d : 9d                   	popfq
5:0x9e : 9e                   	sahf
5:0x9f : 9f                   	lahf
5:0xa0 : a0                   	.byte 0xa0
5:0xa1 : a1                   	.byte 0xa1
5:0xa2 : a2                   	.byte 0xa2
5:0xa3 : a3                   	.byte 0xa3
5:0xa4 : a4                   	movsb  %ds
5:0xa5 : a5                   	movsl  %ds
5:0xa6 : a6                   	cmpsb  %es
5:0xa7 : a7                   	cmpsl  %es
5:0xa8 : a8                   	.byte 0xa8
5:0xa9 : a9 a9 a9 a9 a9       	test   $0xa9a9a9a9,%eax
5:0xaa : aa                   	stos   %al,%es
5:0xab : ab                   	stos   %eax,%es
5:0xac : ac                   	lods   %ds
5:0xad : ad                   	lods   %ds
5:0xae : ae                   	scas   %es
5:0xaf : af                   	scas   %es
5:0xb0 : b0                   	.byte 0xb0
5:0xb1 : b1                   	.byte 0xb1
5:0xb2 : b2                   	.byte 0xb2
5:0xb3 : b3                   	.byte 0xb3
5:0xb4 : b4                   	.byte 0xb4
5:0xb5 : b5                   	.byte 0xb5
5:0xb6 : b6                   	.byte 0xb6
5:0xb7 : b7                   	.byte 0xb7
5:0xb8 : b8 b8 b8 b8 b8       	mov    $0xb8b8b8b8,%eax
5:0xb9 : b9 b9 b9 b9 b9       	mov    $0xb9b9b9b9,%ecx
5:0xba : ba ba ba ba ba       	mov    $0xbabababa,%edx
5:0xbb : bb bb bb bb bb       	mov    $0xbbbbbbbb,%ebx
5:0xbc : bc bc bc bc bc       	mov    $0xbcbcbcbc,%esp
5:0xbd : bd bd bd bd bd       	mov    $0xbdbdbdbd,%ebp
5:0xbe : be be be be be       	mov    $0xbebebebe,%esi
5:0xbf : bf bf bf bf bf       	mov    $0xbfbfbfbf,%edi
5:0xc0 : c0                   	.byte 0xc0
5:0xc1 : c1                   	.byte 0xc1
5:0xc2 : c2                   	.byte 0xc2
5:0xc3 : c3                   	retq
5:0xc4 : c4                   	.byte 0xc4
5:0xc5 : c5                   	.byte 0xc5
5:0xc6 : c6                   	.byte 0xc6
5:0xc7 : c7                   	.byte 0xc7
5:0xc8 : c8                   	.byte 0xc8
5:0xc9 : c9                   	leaveq
5:0xca : ca                   	.byte 0xca
5:0xcb : cb                   	lret
5:0xcc : cc                   	int3
5:0xcd : cd                   	.byte 0xcd
5:0xce : ce                   	(bad)
5:0xcf : cf                   	iret
5:0xd0 : d0                   	.byte 0xd0
5:0xd1 : d1                   	.byte 0xd1
5:0xd2 : d2                   	.byte 0xd2
5:0xd3 : d3                   	.byte 0xd3
5:0xd4 : d4                   	(bad)
5:0xd5 : d5                   	(bad)
5:0xd6 : d6                   	(bad)
5:0xd7 : d7                   	xlat   %ds
5:0xd8 : d8                   	.byte 0xd8
5:0xd9 : d9                   	.byte 0xd9
5:0xda : da                   	.byte 0xda
5:0xdb : db                   	.byte 0xdb
5:0xdc : dc                   	.byte 0xdc
5:0xdd : dd                   	.byte 0xdd
5:0xde : de                   	.byte 0xde
5:0xdf : df                   	.byte 0xdf
5:0xe0 : e0                   	.byte 0xe0
5:0xe1 : e1                   	.byte 0xe1
5:0xe2 : e2                   	.byte 0xe2
5:0xe3 : e3                   	.byte 0xe3
5:0xe4 : e4                   	.byte 0xe4
5:0xe5 : e5                   	.byte 0xe5
5:0xe6 : e6                   	.byte 0xe6
5:0xe7 : e7                   	.byte 0xe7
5:0xe8 : e8 e8 e8 e8 e8       	callq  ffffffffe928e96d <_end+0xffffffffe8c8e8e5>
5:0xe9 : e9 e9 e9 e9 e9       	jmpq   ffffffffea29ea6e <_end+0xffffffffe9c9e9e6>
5:0xea : ea                   	(bad)
5:0xeb : eb                   	.byte 0xeb
5:0xec : ec                   	in     (%dx),%al
5:0xed : ed                   	in     (%dx),%eax
5:0xee : ee                   	out    %al,(%dx)
5:0xef : ef                   	out    %eax,(%dx)
5:0xf0 : f0                   	lock
5:0xf1 : f1                   	icebp
5:0xf2 : f2                   	repnz
5:0xf3 : f3                   	repz
5:0xf4 : f4                   	hlt
5:0xf5 : f5                   	cmc
5:0xf6 : f6                   	.byte 0xf6
5:0xf7 : f7                   	.byte 0xf7
5:0xf8 : f8                   	clc
5:0xf9 : f9                   	stc
5:0xfa : fa                   	cli
5:0xfb : fb                   	sti
5:0xfc : fc                   	cld
5:0xfd : fd                   	std
5:0xfe : fe                   	.byte 0xfe
5:0xff : ff                   	.byte 0xff
6:0x0 : ...
6:0x1 : 01 01                	add    %eax,(%rcx)
6:0x2 : 02 02                	add    (%rdx),%al
6:0x3 : 03 03                	add    (%rbx),%eax
6:0x4 : 04 04                	add    $0x4,%al
6:0x5 : 05                   	.byte 0x5
6:0x6 : 06                   	(bad)
6:0x7 : 07                   	(bad)
6:0x8 : 08 08                	or     %cl,(%rax)
6:0x9 : 09 09                	or     %ecx,(%rcx)
6:0xa : 0a 0a                	or     (%rdx),%cl
6:0xb : 0b 0b                	or     (%rbx),%ecx
6:0xc : 0c 0c                	or     $0xc,%al
6:0xd : 0d                   	.byte 0xd
6:0xe : 0e                   	(bad)
6:0xf : 
6:0x10 : 10 10                	adc    %dl,(%rax)
6:0x11 : 11 11                	adc    %edx,(%rcx)
6:0x12 : 12 12                	adc    (%rdx),%dl
6:0x13 : 13 13                	adc    (%rbx),%edx
6:0x14 : 14 14                	adc    $0x14,%al
6:0x15 : 15                   	.byte 0x15
6:0x16 : 16                   	(bad)
6:0x17 : 17                   	(bad)
6:0x18 : 18 18                	sbb    %bl,(%rax)
6:0x19 : 19 19                	sbb    %ebx,(%rcx)
6:0x1a : 1a 1a                	sbb    (%rdx),%bl
6:0x1b : 1b 1b                	sbb    (%rbx),%ebx
6:0x1c : 1c 1c                	sbb    $0x1c,%al
6:0x1d : 1d                   	.byte 0x1d
6:0x1e : 1e                   	(bad)
6:0x1f : 1f                   	(bad)
6:0x20 : 20 20                	and    %ah,(%rax)
6:0x21 : 21 21                	and    %esp,(%rcx)
6:0x22 : 22 22                	and    (%rdx),%ah
6:0x23 : 23 23                	and    (%rbx),%esp
6:0x24 : 24 24                	and    $0x24,%al
6:0x25 : 25                   	.byte 0x25
6:0x26 : 26                   	es
6:0x27 : 27                   	(bad)
6:0x28 : 28 28                	sub    %ch,(%rax)
6:0x29 : 29 29                	sub    %ebp,(%rcx)
6:0x2a : 2a 2a                	sub    (%rdx),%ch
6:0x2b : 2b 2b                	sub    (%rbx),%ebp
6:0x2c : 2c 2c                	sub    $0x2c,%al
